query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
absence of hydrochloric acid,C0001075,Achlorhydria,1,,50,35.8745,,and_definitions;phrase_definitions,,Absence of hydrochloric acid in the gastric juice.
accumulation of lactic acid,C0001125,"Acidosis, Lactic",1,,50,31.9879,,and_definitions;phrase_definitions,,Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.
blood levels of dapsone,C0000949,Acedapsone,1,,50,28.3396,,and_definitions;phrase_definitions,,"Acetylated sulfone that is slowly metabolized to give long-term, low blood levels of DAPSONE. It has antimicrobial and antimalarial action, but is mainly used as a depot leprostatic agent."
expulsion from the uterus,C0000786,Spontaneous abortion,1,,50,34.4531,,and_definitions;phrase_definitions,,"the natural premature expulsion from the uterus of the products of conception, the embryo, or non-viable fetus."
inflammation of the appendages,C0001577,Adnexitis,1,,50,38.8902,,and_definitions;phrase_definitions,,Inflammation of the appendages of the uterus.
secretion of adrenal hormones,C0001622,Adrenal Gland Hyperfunction,1,,50,25.4843,,and_definitions;phrase_definitions,,abnormally increased secretion of adrenal hormones.
swelling of internal organs,C0001206,Acromegaly,1,,50,8.9715,,and_definitions;phrase_definitions,,"A syndrome characterized by enlargement of the hands, feet, ears, nose, lips, and tongue, skin thickening and swelling of internal organs. It is caused by overproduction of growth hormone in the pituitary gland, usually by a pituitary adenoma."
acute organic mental disorder,C0001957,Alcohol Withdrawal Delirium,2,,49,14.6207,,and_definitions;phrase_definitions,,"An acute organic mental disorder induced by cessation or reduction in chronic alcohol consumption. Clinical characteristics include CONFUSION; DELUSIONS; vivid HALLUCINATIONS; TREMOR; agitation; insomnia; and signs of autonomic hyperactivity (e.g., elevated blood pressure and heart rate, dilated pupils, and diaphoresis). This condition may occasionally be fatal. It was formerly called delirium tremens. (From Adams et al., Principles of Neurology, 6th ed, p1175)"
chronic granulomatous infection,C0001261,Actinomycosis,2,,49,29.5506,,and_definitions;phrase_definitions,,"A rare bacterial infectious disease characterized by a chronic granulomatous infection by &lt;i&gt;Actinomyces&lt;/i&gt; species which are commensals in the human gastrointestinal and urogenital tract and oropharynx. Corresponding to the affected site, the disease presents as cervicofacial, respiratory tract, genitourinary tract, digestive tract, central nervous system, or cutaneous actinomycosis and leads to the formation of abscesses and fistulae in the respective region."
expulsion of the fetus,C0000823,"Abortion, Veterinary",2,,49,44.5861,,and_definitions;phrase_definitions,,Premature expulsion of the FETUS in animals.
loss of carbon dioxide,C0002064,"Alkalosis, Respiratory",2,,49,32.3327,,and_definitions;phrase_definitions,,"A state due to excess loss of carbon dioxide from the body. (Dorland, 27th ed)"
retention of carbon dioxide,C0001127,"Acidosis, Respiratory",3,,48,49.3675,,and_definitions;phrase_definitions,,Respiratory retention of carbon dioxide. It may be chronic or acute.
swelling in the abdomen,C0000734,Abdominal mass,3,,48,47.4038,,and_definitions;phrase_definitions,,An abnormal enlargement or swelling in the abdomen. []
acute brain syndrome,C0001969,Alcoholic Intoxication,4,,47,22.4522,,and_definitions;phrase_definitions,,An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.
inability of the kidneys,C0001126,Renal tubular acidosis,4,,47,11.1631,,and_definitions;phrase_definitions,,The inability of the kidneys to maintain acid-base homeostasis.
inflammation of the bronchioles,C0001311,Acute bronchiolitis,4,,47,49.1121,,and_definitions;phrase_definitions,,Acute inflammation of the bronchioles usually caused by the respiratory syncytial virus.
inflammation of the thyroid,C0001360,Acute thyroiditis,4,,47,41.2972,,and_definitions;phrase_definitions,,Acute inflammation of the thyroid gland.
blood vessels after injection,C0002978,angiogram,5,,46,53.5364,,and_definitions;phrase_definitions,,Radiography of blood vessels after injection of a contrast medium.
loss of white blood,C0001815,Primary Myelofibrosis,5,,46,11.2951,,and_definitions;phrase_definitions,,"Primary myelofibrosis is a condition characterized by the buildup of scar tissue (fibrosis) in the bone marrow, the tissue that produces blood cells. Because of the fibrosis, the bone marrow is unable to make enough normal blood cells. The shortage of blood cells causes many of the signs and symptoms of primary myelofibrosis.~Initially, most people with primary myelofibrosis have no signs or symptoms. Eventually, fibrosis can lead to a reduction in the number of red blood cells, white blood cells, and platelets. A shortage of red blood cells (anemia) often causes extreme tiredness (fatigue) or shortness of breath. A loss of white blood cells can lead to an increased number of infections, and a reduction of platelets can cause easy bleeding or bruising.~Because blood cell formation (hematopoiesis) in the bone marrow is disrupted, other organs such as the spleen or liver may begin to produce blood cells. This process, called extramedullary hematopoiesis, often leads to an enlarged spleen (splenomegaly) or an enlarged liver (hepatomegaly). People with splenomegaly may feel pain or fullness in the abdomen, especially below the ribs on the left side. Other common signs and symptoms of primary myelofibrosis include fever, night sweats, and bone pain.~Primary myelofibrosis is most commonly diagnosed in people aged 50 to 80 but can occur at any age."
retention in the uterus,C0000814,Missed abortion,5,,46,30.8436,,and_definitions;phrase_definitions,,The retention in the UTERUS of a dead FETUS two months or more after its DEATH.
retention in uterus,C0000814,Missed abortion,5,,46,30.8436,,and_definitions;phrase_definitions,,Retention in uterus of an abortus.
