query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
absence of hydrochloric acid,C0001075,Achlorhydria,1,,50,35.8745,,and_definitions;phrase_definitions,,Absence of hydrochloric acid in the gastric juice.
accumulation of lactic acid,C0001125,"Acidosis, Lactic",1,,50,31.9879,,and_definitions;phrase_definitions,,Acidosis caused by accumulation of lactic acid more rapidly than it can be metabolized. It may occur spontaneously or in association with diseases such as DIABETES MELLITUS; LEUKEMIA; or LIVER FAILURE.
blood levels of dapsone,C0000949,Acedapsone,1,,50,28.3396,,and_definitions;phrase_definitions,,"Acetylated sulfone that is slowly metabolized to give long-term, low blood levels of DAPSONE. It has antimicrobial and antimalarial action, but is mainly used as a depot leprostatic agent."
expulsion from the uterus,C0000786,Spontaneous abortion,1,,50,34.4531,,and_definitions;phrase_definitions,,"the natural premature expulsion from the uterus of the products of conception, the embryo, or non-viable fetus."
hepatitis resulting from ingestion,C0001306,Acute alcoholic liver disease,1,,50,63.0481,,and_definitions;phrase_definitions,,Acute hepatitis resulting from ingestion of alcohol.
infection of horses mules,C0001748,African Horse Sickness,1,,50,27.9721,,and_definitions;phrase_definitions,,"An insect-borne reovirus infection of horses, mules and donkeys in Africa and the Middle East; characterized by pulmonary edema, cardiac involvement, and edema of the head and neck."
inflammation of the appendages,C0001577,Adnexitis,1,,50,38.8902,,and_definitions;phrase_definitions,,Inflammation of the appendages of the uterus.
respiratory retention of carbon,C0001127,"Acidosis, Respiratory",1,,50,38.4085,,and_definitions;phrase_definitions,,Respiratory retention of carbon dioxide. It may be chronic or acute.
secretion of adrenal hormones,C0001622,Adrenal Gland Hyperfunction,1,,50,25.4843,,and_definitions;phrase_definitions,,abnormally increased secretion of adrenal hormones.
skin for either local,C0001558,"Administration, Cutaneous",1,,50,27.4466,,and_definitions;phrase_definitions,,The application of suitable drug dosage forms to the skin for either local or systemic effects.
swelling of internal organs,C0001206,Acromegaly,1,,50,8.9715,,and_definitions;phrase_definitions,,"A syndrome characterized by enlargement of the hands, feet, ears, nose, lips, and tongue, skin thickening and swelling of internal organs. It is caused by overproduction of growth hormone in the pituitary gland, usually by a pituitary adenoma."
chronic granulomatous infection,C0001261,Actinomycosis,2,,49,29.5506,,and_definitions;phrase_definitions,,"A rare bacterial infectious disease characterized by a chronic granulomatous infection by &lt;i&gt;Actinomyces&lt;/i&gt; species which are commensals in the human gastrointestinal and urogenital tract and oropharynx. Corresponding to the affected site, the disease presents as cervicofacial, respiratory tract, genitourinary tract, digestive tract, central nervous system, or cutaneous actinomycosis and leads to the formation of abscesses and fistulae in the respective region."
expulsion of the fetus,C0000823,"Abortion, Veterinary",2,,49,44.5861,,and_definitions;phrase_definitions,,Premature expulsion of the FETUS in animals.
secretion of adrenal cortical,C0001655,corticotropin,2,,49,16.6645,,and_definitions;phrase_definitions,,pituitary hormone that stimulates the secretion of adrenal cortical steroids and induces growth of the adrenal cortex.
blood resulting in bleeding,C0001733,Afibrinogenemia,3,,48,25.8709,,and_definitions;phrase_definitions,,"A blood coagulation disorder characterized by the complete absence of fibrinogen in the blood, resulting in bleeding."
retention of carbon,C0001127,"Acidosis, Respiratory",3,,48,31.8810,,and_definitions;phrase_definitions,,Respiratory retention of carbon dioxide. It may be chronic or acute.
